Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore
2023-09-14 21:30:00,26596.51,26596.52,26587.19,26587.55,20.53472,2023-09-14 21:34:59.999,546031.6690647,1050,7.84413,208576.0277607,0
2023-09-14 21:35:00,26587.55,26594.11,26585.7,26594.1,26.82389,2023-09-14 21:39:59.999,713192.9385954,1021,16.69246,443812.0147351,0
2023-09-14 21:40:00,26594.1,26594.11,26558.01,26558.01,70.08703,2023-09-14 21:44:59.999,1862351.2984757,1930,10.17512,270412.413555,0
2023-09-14 21:45:00,26558.01,26559.67,26473.0,26508.02,236.20759,2023-09-14 21:49:59.999,6263685.1182197,6320,68.16627,1807204.7443068,0
2023-09-14 21:50:00,26508.02,26537.04,26504.22,26512.72,52.58355,2023-09-14 21:54:59.999,1394596.7436899,1607,18.05557,478824.1914168,0
2023-09-14 21:55:00,26512.71,26534.84,26495.37,26534.84,61.78669,2023-09-14 21:59:59.999,1637481.7248609,1604,46.14018,1222829.9068695,0
2023-09-14 22:00:00,26534.84,26548.22,26510.0,26526.73,83.69318,2023-09-14 22:04:59.999,2220210.3471235,1909,35.20625,933960.1067678,0
2023-09-14 22:05:00,26526.72,26541.96,26523.46,26537.98,58.24008,2023-09-14 22:09:59.999,1545333.0548889,1430,28.18445,747853.8611857,0
2023-09-14 22:10:00,26537.97,26580.0,26537.97,26579.17,156.02662,2023-09-14 22:14:59.999,4143690.4064783,2462,108.74312,2887905.661659,0
2023-09-14 22:15:00,26579.16,26606.8,26570.0,26598.06,73.46963,2023-09-14 22:19:59.999,1953383.8509437,2221,36.60876,973301.1442885,0
2023-09-14 22:20:00,26598.06,26620.29,26598.05,26618.44,38.27628,2023-09-14 22:24:59.999,1018371.7326889,1812,18.75876,499085.4719255,0
2023-09-14 22:25:00,26618.43,26618.44,26600.35,26610.66,41.80156,2023-09-14 22:29:59.999,1112232.1477705,1457,20.53451,546341.8340266,0
2023-09-14 22:30:00,26610.66,26614.66,26602.98,26609.05,35.63482,2023-09-14 22:34:59.999,948192.2668146,1146,8.89538,236713.7742945,0
2023-09-14 22:35:00,26609.06,26619.81,26609.05,26618.01,35.80459,2023-09-14 22:39:59.999,952903.2113648,1193,20.92818,556953.0742634,0
2023-09-14 22:40:00,26618.01,26618.02,26610.79,26610.8,15.40392,2023-09-14 22:44:59.999,409951.9879925,940,7.07397,188262.5629952,0
2023-09-14 22:45:00,26610.79,26617.85,26591.64,26603.19,37.50268,2023-09-14 22:49:59.999,997737.761261,1493,9.68912,257793.0608018,0
2023-09-14 22:50:00,26603.2,26613.16,26603.19,26613.16,29.93369,2023-09-14 22:54:59.999,796447.3550914,1252,19.18284,510377.5737298,0
